INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
232010316,1106,,FRAUD - CREDIT CARD / ATM FRAUD,E13,574,0,2023-01-01 00:00:00+00,2023,1,Sunday,0,,WASHINGTON ST,42.30971856767274,-71.10429431787648,"(42.30971856767274, -71.10429431787648)"
232022077,1001,,FORGERY / COUNTERFEITING,E5,680,0,2023-01-01 00:00:00+00,2023,1,Sunday,0,,POPLAR ST,42.28630091783755,-71.12883623098992,"(42.28630091783755, -71.12883623098992)"
232014572,2670,,HARASSMENT/ CRIMINAL HARASSMENT,E5,691,0,2023-01-01 00:00:00+00,2023,1,Sunday,0,,CENTRE ST,42.28709355259107,-71.14822128377165,"(42.28709355259107, -71.14822128377165)"
232020806,3115,,INVESTIGATE PERSON,A1,77,0,2023-01-01 07:30:00+00,2023,1,Sunday,7,,SUDBURY ST,,,
232016999,3207,,PROPERTY - FOUND,C11,355,0,2023-01-01 08:00:00+00,2023,1,Sunday,8,,GIBSON ST,42.29755532959655,-71.05970910242573,"(42.29755532959655, -71.05970910242573)"
232000805,3301,,VERBAL DISPUTE,B2,320,0,2023-01-04 10:07:00+00,2023,1,Wednesday,10,,HARTWELL STREET,,,
232001248,801,,ASSAULT - SIMPLE,C11, ,0,2023-01-05 17:28:00+00,2023,1,Thursday,17,,WASHINGTON ST,42.30422175471675,-71.0791845947074,"(42.30422175471675, -71.0791845947074)"
232011980,1109,,FRAUD - WIRE,C11,355,0,2023-01-01 00:00:00+00,2023,1,Sunday,0,,GIBSON ST,42.29755532959655,-71.05970910242573,"(42.29755532959655, -71.05970910242573)"
232017002,3207,,PROPERTY - FOUND,C11,355,0,2023-01-01 08:00:00+00,2023,1,Sunday,8,,GIBSON ST,42.29755532959655,-71.05970910242573,"(42.29755532959655, -71.05970910242573)"
232001282,3115,,INVESTIGATE PERSON,B3,458,0,2023-01-05 19:41:00+00,2023,1,Thursday,19,,MICHIGAN AVE,42.30250605365451,-71.08329400039415,"(42.30250605365451, -71.08329400039415)"
232001315,3115,,INVESTIGATE PERSON,E13,574,0,2023-01-05 22:01:00+00,2023,1,Thursday,22,,WASHINGTON ST,42.30971856767274,-71.10429431787648,"(42.30971856767274, -71.10429431787648)"
232017000,3207,,PROPERTY - FOUND,C11,355,0,2023-01-01 08:00:00+00,2023,1,Sunday,8,,GIBSON ST,42.29755532959655,-71.05970910242573,"(42.29755532959655, -71.05970910242573)"
232015026,2670,,HARASSMENT/ CRIMINAL HARASSMENT,D4, ,0,2023-01-01 12:45:00+00,2023,1,Sunday,12,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
232000130,1831,,SICK ASSIST,C11,341,0,2023-01-01 13:15:00+00,2023,1,Sunday,13,,TOPLIFF STREET,,,
232016428,3115,,INVESTIGATE PERSON,C11,355,0,2023-01-01 13:15:00+00,2023,1,Sunday,13,,GIBSON ST,42.29755532959655,-71.05970910242573,"(42.29755532959655, -71.05970910242573)"
232000204,3301,,VERBAL DISPUTE,A7,28,0,2023-01-01 18:00:00+00,2023,1,Sunday,18,,PARIS STREET,,,
232000702,3801,,M/V ACCIDENT - OTHER,D14, ,0,2023-01-03 19:27:00+00,2023,1,Tuesday,19,,WASHINGTON ST,42.34934251788298,-71.16386818201659,"(42.34934251788298, -71.16386818201659)"
232001283,801,,ASSAULT - SIMPLE,B2, ,0,2023-01-05 19:26:00+00,2023,1,Thursday,19,,WASHINGTON ST,42.30649282980647,-71.08180676829282,"(42.30649282980647, -71.08180676829282)"
232001522,3502,,MISSING PERSON - LOCATED,B2,612,0,2023-01-06 16:20:00+00,2023,1,Friday,16,,LONGWOOD AVE,42.33744151891779,-71.10428095571272,"(42.33744151891779, -71.10428095571272)"
232013926,3501,,MISSING PERSON,D4,167,0,2023-01-02 00:00:00+00,2023,1,Monday,0,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
232000830,301,,ROBBERY,E18, ,0,2023-01-04 11:46:00+00,2023,1,Wednesday,11,,AMERICAN LEGION HWY,42.28446742674232,-71.11183088758158,"(42.28446742674232, -71.11183088758158)"
232000952,2662,,BALLISTICS EVIDENCE/FOUND,D14,778,0,2023-01-04 17:00:00+00,2023,1,Wednesday,17,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
232000088,3801,,M/V ACCIDENT - OTHER,C6, ,0,2023-01-01 09:34:00+00,2023,1,Sunday,9,,DORCHESTER ST,42.33185623751778,-71.05277801026142,"(42.33185623751778, -71.05277801026142)"
232000189,2914,,VAL - OPERATING W/O AUTHORIZATION LAWFUL,B2, ,0,2023-01-01 16:41:00+00,2023,1,Sunday,16,,"CLIFFORD ST & BLUE HILL AVE
ROXBURY  MA 02119
UNIT",42.31904095915661,-71.07775399146878,"(42.31904095915661, -71.07775399146878)"
232000762,3018,,SICK/INJURED/MEDICAL - POLICE,A1,77,0,2023-01-04 00:00:00+00,2023,1,Wednesday,0,,NEW SUDBURY ST,42.361838566564714,-71.05976489094158,"(42.361838566564714, -71.05976489094158)"
232001289,619,,LARCENY ALL OTHERS,B2, ,0,2023-01-05 19:30:00+00,2023,1,Thursday,19,,MAGNOLIA ST,42.3108684220469,-71.07425854445232,"(42.3108684220469, -71.07425854445232)"
232001377,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A7, ,0,2023-01-06 09:08:00+00,2023,1,Friday,9,,"LAMSON ST & SUMNER ST
EAST BOSTON  MA 02128
UNITED",42.36593299698915,-71.03299699900552,"(42.36593299698915, -71.03299699900552)"
232000034,801,,ASSAULT - SIMPLE,A1,121,0,2023-01-01 02:45:00+00,2023,1,Sunday,2,,STUART ST,42.35106637179275,-71.06549569082702,"(42.35106637179275, -71.06549569082702)"
232000096,3803,,M/V ACCIDENT - PERSONAL INJURY,C11,337,0,2023-01-01 10:00:00+00,2023,1,Sunday,10,,EVERTON STREET,,,
232000258,1831,,SICK ASSIST,B2,260,0,2023-01-02 01:34:00+00,2023,1,Monday,1,,WOODWARD PARK ST,42.31862925779492,-71.07271364642999,"(42.31862925779492, -71.07271364642999)"
232000292,3114,,INVESTIGATE PROPERTY,D4, ,0,2023-01-02 09:38:00+00,2023,1,Monday,9,,IPSWICH ST,42.34660365516112,-71.09497995818687,"(42.34660365516112, -71.09497995818687)"
232000297,1831,,SICK ASSIST,, ,0,2023-01-02 09:47:00+00,2023,1,Monday,9,,JETTE CT,42.34682749921356,-71.14319086479756,"(42.34682749921356, -71.14319086479756)"
232001527,3201,,PROPERTY - LOST/ MISSING,C6, ,0,2023-01-02 15:13:00+00,2023,1,Monday,15,,NORTHERN AVE,42.3536355511099,-71.04739569993279,"(42.3536355511099, -71.04739569993279)"
232001272,3207,,PROPERTY - FOUND,D4, ,0,2023-01-05 19:33:00+00,2023,1,Thursday,19,,BOYLSTON ST,42.348623815554966,-71.08277637086411,"(42.348623815554966, -71.08277637086411)"
232000360,3115,,INVESTIGATE PERSON,C6,200,0,2023-01-02 02:03:00+00,2023,1,Monday,2,,W BROADWAY,42.34234192786415,-71.05633275534915,"(42.34234192786415, -71.05633275534915)"
232000841,3115,,INVESTIGATE PERSON,B2, ,0,2023-01-04 11:51:00+00,2023,1,Wednesday,11,,ANNUNCIATION RD,42.335062177633304,-71.0931678123782,"(42.335062177633304, -71.0931678123782)"
232000041,801,,ASSAULT - SIMPLE,A1, ,0,2023-01-01 02:54:00+00,2023,1,Sunday,2,,STUART ST,42.35103104592933,-71.06373331020067,"(42.35103104592933, -71.06373331020067)"
232000299,3301,,VERBAL DISPUTE,B2, ,0,2023-01-02 09:57:00+00,2023,1,Monday,9,,ARION ST,42.31623974816479,-71.06695149828681,"(42.31623974816479, -71.06695149828681)"
232000482,1831,,SICK ASSIST,D4,172,0,2023-01-02 20:45:00+00,2023,1,Monday,20,,MASSACHUSETTS AVENUE,,,
232016529,617,,LARCENY THEFT FROM BUILDING,C6,200,0,2023-01-03 00:00:00+00,2023,1,Tuesday,0,,W BROADWAY,42.341287504390436,-71.05467932649397,"(42.341287504390436, -71.05467932649397)"
232000861,1831,,SICK ASSIST,E13,646,0,2023-01-04 00:00:00+00,2023,1,Wednesday,0,,SOUTH ST,42.30888817158391,-71.11553036734182,"(42.30888817158391, -71.11553036734182)"
232001873,1831,,SICK ASSIST,A15,40,0,2023-01-08 08:19:00+00,2023,1,Sunday,8,,PARK ST,42.373435451064175,-71.06061464701688,"(42.373435451064175, -71.06061464701688)"
232010145,1402,,VANDALISM,D4,167,0,2023-01-01 10:00:00+00,2023,1,Sunday,10,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
